id,component,peaks,intensity
122,hemoglobin,"[1640, 1585, 1310, 1131, 751]","[0.1993809291084956, 0.9825760635378471, 0.47876686209589236, 0.9935228903728369, 0.7304147258403394]"
123,lectin,"[515, 646, 766, 839, 870, 884, 939, 954, 1009, 1035, 1133, 1246, 1345, 1450, 1460, 1569, 1626, 1676]","[0.0370725840827839, 0.06065441621009367, 0.17931421206779108, 0.17275627548439257, 0.11300750254861415, 0.15787443914914334, 0.10085857149044551, 0.10560970086648898, 0.9540248784246237, 0.2751790248919332, 0.12748697832444364, 0.6483167992647549, 0.5722835535118983, 0.626856249029592, 0.6218841391908977, 0.2121177932190709, 0.34981278592924786, 0.98956617076218]"
124,lectin,"[540, 657, 767, 835, 846, 882, 939, 1011, 1038, 1135, 1236, 1335, 1452, 1551, 1563, 1626, 1679]","[0.05496298347605973, 0.07420579726175136, 0.21934031357946804, 0.18388754177414526, 0.18970203078263395, 0.28287823037435, 0.21430762089538472, 0.9622777449562355, 0.4434189806389666, 0.2130586148439388, 0.7026522752106105, 0.6560162600878998, 0.8055143683463252, 0.20350382750560791, 0.23522511958833933, 0.27184842769966194, 0.9268547578825865]"
125,lectin,"[519, 538, 645, 764, 838, 853, 879, 937, 968, 1003, 1031, 1126, 1236, 1342, 1451, 1555, 1618, 1667]","[0.09295704765496765, 0.14704626313736643, 0.16079405750499323, 0.22547989145510522, 0.1477197551199558, 0.20430130569670946, 0.09320685719205711, 0.04931476066317419, 0.09740962433361755, 0.8724405115442261, 0.2643061196367171, 0.0753133607564403, 0.5067935419441307, 0.6367283298610064, 0.9557326430096214, 0.1918506617074333, 0.28840675524415443, 0.987334184696955]"
126,myoglobin,"[1640, 1585, 1380, 751, 680]","[0.5621122634938226, 0.9054639359861032, 0.5808917466589144, 0.2313701814698302, 0.14321206863293032]"
127,myoglobin,"[1640, 1585, 1308, 1131, 751]","[0.35796061781437205, 0.9831908611839356, 0.48892609882910737, 0.5660973787660503, 0.4744252336488944]"
128,papain,"[647, 763, 834, 857, 933, 1011, 1035, 1258, 1334, 1445, 1553, 1618, 1672]","[0.30344461474491186, 0.31962263606733937, 0.5991756083567017, 0.6723655224491218, 0.8587726664007673, 0.6666389953637752, 0.29737136379342527, 0.8609432186228008, 0.8145595229535924, 0.9043396701874565, 0.37172476112347846, 0.7252659422414821, 0.9915752462610269]"
129,papain,"[648, 766, 830, 856, 931, 1011, 1035, 1262, 1278, 1347, 1452, 1554, 1617, 1668]","[0.3972006674151281, 0.29767319161132083, 0.5145297084831745, 0.5506029391196416, 0.7332565802763259, 0.5625180403598966, 0.2285791772344927, 0.7600418308296262, 0.6018972764214297, 0.6990261030146019, 1.0, 0.28234188287898376, 0.7167343092863458, 0.9574014438164831]"
130,papain,"[499, 643, 827, 851, 926, 1003, 1011, 1035, 1270, 1339, 1445, 1546, 1615, 1665]","[0.8728360458653013, 0.434679049616669, 0.35459118504264997, 0.3637680494287927, 0.4576791202262082, 0.39632933717740154, 0.2500833612928103, 0.12559605785197683, 0.5169174043117524, 0.8427579787626482, 0.9905285136793567, 0.2294848946334561, 0.5633264515377528, 0.752840108069103]"
131,pepsin,"[515, 537, 764, 864, 893, 932, 955, 1009, 1037, 1131, 1248, 1342, 1454, 1558, 1617, 1675]","[0.09730745041877466, 0.09110955727735101, 0.10435313920046481, 0.2804411723091623, 0.35413141121529085, 0.3332256562797038, 0.23186852573077235, 0.4968372013465478, 0.33539006981695185, 0.16388193217642877, 0.7005633261638302, 0.6485310402683232, 0.9339278292243308, 0.15367720863119605, 0.45228434074403695, 0.9938953503108506]"
132,pepsin,"[658, 763, 864, 890, 940, 940, 1004, 1048, 1127, 1245, 1334, 1449, 1559, 1629, 1671]","[0.07983300949498238, 0.21020116631287494, 0.35886013556345, 0.40606499082331216, 0.3616667042704912, 0.3616667042704912, 0.48207283128229944, 0.2741755787058343, 0.13060537249981974, 0.7412204884828903, 0.7620374066179022, 0.9816643614056271, 0.37503621529880793, 0.284265098001247, 0.7214409684516501]"
133,pepsin,"[527, 550, 644, 770, 852, 877, 950, 975, 1004, 1042, 1137, 1254, 1336, 1454, 1555, 1610, 1669]","[0.20386433206079702, 0.27581281551114367, 0.1384895644744685, 0.21952528174849487, 0.32519422819770716, 0.43244204276103276, 0.25552197415996375, 0.23169847797485657, 0.3852766807186647, 0.4314993564670598, 0.2716263858871705, 0.5374236804234409, 0.7403584049626116, 0.9762441638308019, 0.2484754590121288, 0.3726599357848245, 0.6486857888008375]"
134,pepsinogen,"[646, 764, 834, 858, 890, 945, 1010, 1036, 1127, 1247, 1348, 1457, 1560, 1623, 1676]","[0.1960354651901491, 0.2092245924937569, 0.19529157143491807, 0.1825556231888975, 0.05641823936049181, 0.16691767911014962, 0.9357904195544964, 0.5275666031266075, 0.4154792622444362, 0.4631296516647691, 0.38888634553332807, 0.6244446967339554, 0.2779841719618227, 0.4514097497584276, 0.9723654021339]"
135,pepsinogen,"[646, 761, 832, 856, 878, 942, 980, 1006, 1036, 1131, 1245, 1343, 1451, 1461, 1556, 1620, 1674]","[0.146353838477315, 0.28398772733128624, 0.33176775608949255, 0.40379085145576477, 0.2668215337278302, 0.1813246983470723, 0.26582516380342536, 0.9958877924753211, 0.37414175344133893, 0.15023781532923045, 0.6920856523734628, 0.6019021706392376, 0.7107580312890708, 0.7059209480528774, 0.26142968742060313, 0.42944184433807275, 0.9985847909508937]"
136,pepsinogen,"[523, 542, 645, 759, 827, 851, 877, 957, 979, 1004, 1032, 1127, 1246, 1341, 1450, 1552, 1616, 1671]","[0.048100643460309955, 0.07386723888701267, 0.16229696067502017, 0.24053438917028538, 0.2592347439551155, 0.28432958155023885, 0.20478783526965413, 0.20278718603981957, 0.2637409715846549, 0.8012606886613562, 0.32023512200896515, 0.2314257598837024, 0.6405968773011509, 0.6479653599331668, 0.9652654233790054, 0.17604467009990846, 0.4611014171062855, 0.9925844437045318]"
137,major proteinase,"[532, 645, 763, 831, 856, 960, 1004, 1033, 1104, 1128, 1240, 1268, 1339, 1454, 1618, 1663]","[0.11208584322486186, 0.13996146169311405, 0.10913063967210429, 0.28672275936184544, 0.4346096041143032, 0.2423095602571351, 0.38943102982630295, 0.12745089692713257, 0.20071225851759006, 0.1932572840158247, 0.48330344268518943, 0.5190401882966925, 0.48471483871149124, 0.6972486788598116, 0.393580179856333, 0.9875108667206441]"
138,major proteinase,"[532, 647, 763, 831, 856, 960, 1006, 1033, 1106, 1129, 1240, 1273, 1339, 1456, 1619, 1669]","[0.13401187080260155, 0.20628714154937963, 0.11667606506432081, 0.3372497562480846, 0.45779411173418166, 0.3052206124101263, 0.4716225107689399, 0.12283804807670126, 0.23869881094193834, 0.2699053667163112, 0.5463270058592712, 0.5902321378832704, 0.5873963765832368, 0.9149129057396939, 0.49229963902011936, 0.9978604307785389]"
139,major proteinase,"[643, 763, 831, 856, 960, 1002, 1033, 1106, 1127, 1241, 1271, 1338, 1452, 1616, 1663]","[0.2132483756672936, 0.1145633550322554, 0.18893515271342004, 0.3190307343241238, 0.15804740609949133, 0.2613578574111426, 0.07557265438315591, 0.18356807069762932, 0.21566567924890884, 0.4122716241465181, 0.4436723909833613, 0.5023060823471531, 0.9991549886103647, 0.40416532830518126, 0.9644542998596088]"
140,superoxide dismutases,"[649, 753, 835, 869, 894, 935, 1009, 1037, 1127, 1246, 1344, 1454, 1610, 1675]","[0.0441963491796955, 0.0761525824489181, 0.1087910129225552, 0.17010658433352221, 0.16912097621067732, 0.22746854662892033, 0.6657848111878476, 0.34621443861909335, 0.14225226573652658, 0.6022420773321272, 0.405828536245769, 0.7132062307615205, 0.2126328788580505, 0.9995151962342401]"
141,superoxide dismutases,"[643, 764, 837, 861, 889, 897, 943, 964, 1009, 1034, 1128, 1247, 1340, 1452, 1610, 1679]","[0.03637894029957731, 0.07426055712874256, 0.13794619131845687, 0.20690354162393557, 0.19328618832321023, 0.1892114695177019, 0.2714968643114059, 0.33880661605554824, 0.7696200851566032, 0.42421561580458494, 0.1784017500720809, 0.6320421854755556, 0.464492222678887, 0.7793208676570001, 0.2037083524284371, 0.9845431026559323]"
142,superoxide dismutases,"[516, 547, 742, 838, 861, 883, 939, 955, 1004, 1031, 1126, 1243, 1345, 1449, 1612, 1676]","[0.11632751173131393, 0.15512958727795076, 0.17465873976109425, 0.1414784167158826, 0.17077017261749583, 0.15463048104132263, 0.2555435130811272, 0.1869558711084098, 0.517586628060485, 0.33950204352154, 0.2316395073933565, 0.5800370953136593, 0.49003046783344173, 1.0, 0.2205185848718426, 0.8586290564861054]"
143,trypsinogen,"[515, 647, 762, 831, 855, 883, 938, 975, 1006, 1033, 1128, 1240, 1342, 1450, 1554, 1620, 1664]","[0.14439709863955827, 0.10796787156372198, 0.23754210024462535, 0.26124337283594934, 0.3927872189678418, 0.26807440148902595, 0.18249120796975543, 0.28339885026070116, 0.5766261801091607, 0.2971753152815357, 0.21346903376369825, 0.792916970073541, 0.6271616963722643, 0.7249655940999289, 0.2824126512947954, 0.4348683246085457, 0.9906721473641388]"
144,trypsinogen,"[513, 648, 762, 830, 856, 873, 935, 963, 1006, 1035, 1130, 1242, 1342, 1451, 1553, 1618, 1674]","[0.15957980889695872, 0.11780615837875504, 0.24906891336081372, 0.28121290577216274, 0.4097227405656464, 0.26400418744881876, 0.20017467900809402, 0.29695092673888607, 0.6342091788272772, 0.332406279046136, 0.21090235530346546, 0.7874626923282385, 0.6018266417041878, 0.7372303757686495, 0.25800701042381347, 0.3613112622684623, 0.9558746903556127]"
145,trypsinogen,"[538, 645, 759, 829, 855, 926, 965, 1003, 1042, 1129, 1243, 1343, 1450, 1548, 1620, 1660]","[0.14240321012164064, 0.26882088142206984, 0.1430933909245838, 0.18898184224863943, 0.2672701689309699, 0.13402317834987335, 0.25751034853879945, 0.2929529316413544, 0.26328142452736236, 0.13804186404138688, 0.5541243963468562, 0.5446644671426965, 0.9360093123901636, 0.23286437470770155, 0.29983489548183295, 0.9773063568379452]"
146,trypsin inhibitor,"[510, 838, 860, 898, 1006, 1037, 1127, 1263, 1325, 1452, 1617, 1666]","[0.2550932046519999, 0.18187459818917612, 0.19057578258557423, 0.2187783761734862, 0.40976771101516074, 0.1900039929939709, 0.24917939996195412, 0.5860507621332096, 0.7113533201710631, 0.703030713316068, 0.35426843243036044, 0.9914856142666937]"
147,trypsin inhibitor,"[510, 838, 860, 898, 1006, 1037, 1129, 1267, 1325, 1452, 1619, 1673]","[0.28622754667867684, 0.21814647283324626, 0.2786309107988325, 0.28537233948777135, 0.4558909680864856, 0.25210942321793584, 0.24452392749722926, 0.5601338525641997, 0.6799926394589203, 0.6751378516033317, 0.3123881377335153, 0.9936783019679785]"
148,trypsin inhibitor,"[510, 838, 857, 894, 958, 1004, 1032, 1127, 1263, 1320, 1454, 1614, 1671]","[0.2826411707311945, 0.18749855252532271, 0.17337851377156913, 0.24312116491712948, 0.22351177876520278, 0.3773004731611306, 0.20154373732427577, 0.29230868459778553, 0.5649320862556924, 0.750295931790229, 0.9651278554765649, 0.3363422145451709, 0.9988136108856507]"
149,thaumatin,"[515, 649, 763, 838, 858, 883, 941, 984, 1009, 1037, 1121, 1242, 1342, 1451, 1556, 1618, 1677]","[0.14011996959608833, 0.08363259386186798, 0.15093368267715968, 0.14785244830900152, 0.16542433113460142, 0.11483139606794583, 0.04854154093518911, 0.27912931543489394, 0.8425112349323784, 0.3662186084982707, 0.16555983307367778, 0.6856087601038962, 0.5294334697580078, 0.6248289356901163, 0.26108965651062416, 0.4883753784493415, 0.9991455214926711]"
150,thaumatin,"[516, 738, 830, 850, 883, 928, 976, 1007, 1033, 1123, 1235, 1333, 1449, 1557, 1621, 1673]","[0.13129750750088004, 0.134642665121995, 0.1692075960336236, 0.18806947965699017, 0.10722281982985048, 0.043892701655861226, 0.19851450572377294, 0.82266759354178, 0.3634626596457517, 0.1329389562676598, 0.6214081698050976, 0.6359065952216428, 0.6696171190981529, 0.5143104957887132, 0.5083296569165654, 1.0]"
151,thaumatin,"[645, 759, 833, 853, 878, 932, 980, 1004, 1035, 1127, 1256, 1336, 1449, 1554, 1669]","[0.13225219160724636, 0.12554845904640669, 0.13704051458269878, 0.1615610206082004, 0.16635627567433398, 0.06862941472468967, 0.18768858556143597, 0.6363245467656006, 0.24702620079470278, 0.12458006948495404, 0.5534931720640136, 0.4706602676710712, 0.8444637125558321, 0.1240292301766919, 0.9993548177005863]"
152,triosephosphate isomerase,"[761, 883, 1004, 1035, 1268, 1330, 1452, 1468, 1555, 1660]","[0.41997384222634043, 0.4991271824892137, 0.5638406600084137, 0.2808064137282398, 0.32676716784039245, 0.625077124836218, 0.8900864820985642, 0.7635045310908862, 0.4671786713798424, 0.9834214542864078]"
153,triosephosphate isomerase,"[495, 712, 762, 881, 1009, 1035, 1269, 1332, 1344, 1448, 1465, 1555, 1665]","[0.5111364780468296, 0.35282134182036445, 0.27409299232898277, 0.4009466695871581, 0.6171274702054728, 0.1981595696895638, 0.43169934344156247, 0.7261588435864256, 0.6367399977568331, 0.952586888812332, 0.9204564430638772, 0.28326339806390216, 0.9932371825436024]"
154,triosephosphate isomerase,"[495, 712, 760, 887, 1006, 1035, 1269, 1339, 1448, 1468, 1555, 1662]","[0.42575831865347485, 0.3289271334243842, 0.28161967375676866, 0.11439729011687959, 0.321831260891349, 0.16652206559282956, 0.3266761226082889, 0.5573791022000905, 0.9985446742598212, 0.6255044609039119, 0.2496751061075258, 0.8333754879062888]"
155,trypsin,"[512, 553, 643, 762, 837, 854, 877, 942, 963, 1012, 1037, 1129, 1238, 1343, 1448, 1555, 1621, 1671]","[0.15776393243045375, 0.057731627420904374, 0.1602871301952082, 0.21046976997310501, 0.1554425294435433, 0.3207975676216662, 0.14403946696365008, 0.07335205735297792, 0.24393866581758863, 0.43843766664275713, 0.3139402899530157, 0.19797800938635096, 0.7687644552893813, 0.6326673720206332, 0.8036566891735651, 0.32130686374291456, 0.4618720018309247, 0.9986504477974172]"
156,trypsin,"[515, 645, 764, 836, 856, 881, 945, 978, 1011, 1131, 1245, 1343, 1451, 1555, 1619, 1672]","[0.14451239354763173, 0.15004856613996537, 0.21426936515401723, 0.2534964318890681, 0.33718390803617837, 0.21160700127058105, 0.12417047887273557, 0.2194280807318002, 0.47472971434611333, 0.23000280988759259, 0.6257522018800618, 0.4996384991114844, 0.7439070304956652, 0.25795381625830416, 0.43210076766207683, 0.9991555626389251]"
157,trypsin,"[646, 760, 830, 851, 881, 945, 980, 1006, 1031, 1127, 1248, 1337, 1450, 1550, 1669]","[0.14539941314775578, 0.20954267956817343, 0.2231695760675367, 0.236485254426733, 0.18573734347796741, 0.10146925655843413, 0.17934476436957258, 0.30701060397553703, 0.21136310311748402, 0.2628534584297365, 0.6346641962992048, 0.6947161546368256, 0.9243660607699099, 0.24895627346362265, 1.0]"
158,ubiquitin,"[850, 860, 962, 1006, 1033, 1131, 1243, 1286, 1320, 1454, 1612, 1670]","[0.15050048441314187, 0.16353703155391736, 0.3833600059184633, 0.7096950946669682, 0.27257043638583417, 0.22360746192897382, 0.5486629520334246, 0.5457039696968842, 0.6237435869541117, 0.8715856733151077, 0.1904073207957715, 0.9878823353969897]"
159,ubiquitin,"[840, 860, 968, 1006, 1030, 1129, 1241, 1279, 1320, 1454, 1608, 1670]","[0.22786389927543632, 0.1287525293100109, 0.29423729473368243, 0.7079483705080989, 0.19393958986890647, 0.22963053732121283, 0.5330511288172178, 0.416395717942372, 0.5839320351799172, 0.8616152153997657, 0.19859982078323496, 1.0]"
160,ubiquitin,"[836, 860, 959, 1003, 1033, 1127, 1249, 1279, 1317, 1341, 1449, 1605, 1670]","[0.14534636017726568, 0.06803180494315744, 0.20390929839451494, 0.47616759876272746, 0.12996503453143754, 0.16139007870771757, 0.3731366036098912, 0.36977863367219244, 0.48771471429374813, 0.4245011127109492, 0.9993566964439027, 0.2057840465051027, 0.9075901147762868]"
161,glucose oxidase,"[847, 861, 935, 1004, 1035, 1144, 1236, 1283, 1453, 1482, 1621, 1664]","[0.4243641223728375, 0.35860941673062074, 0.12374633815583462, 0.13058496318521975, 0.08314500130387226, 0.42478775182373246, 0.5653744189439514, 0.8403751525673425, 0.47138247334218547, 0.9959752029358682, 0.15303727822025193, 0.28045379724005354]"
162,glucose oxidase,"[761, 847, 861, 930, 978, 1004, 1035, 1145, 1236, 1280, 1341, 1453, 1554, 1621, 1664]","[0.15871620439793965, 0.3948027772098785, 0.369161598201464, 0.14402728703841056, 0.08451084483369846, 0.2967798072385297, 0.12667297539627512, 0.24099196201774936, 0.46157969791090014, 0.7231758752960056, 0.46078345679355426, 0.9965574835488397, 0.2573643971978398, 0.3567525523260999, 0.6679096342375334]"
163,xylanase,"[766, 870, 944, 1014, 1057, 1130, 1268, 1344, 1463, 1661]","[0.11357867385659536, 0.5382786982150453, 0.769511210800348, 0.30891669695714485, 0.5850656182821596, 0.9599250833905298, 0.47617115360255724, 0.9983314341434288, 0.7553500437453644, 0.2676131254252109]"
164,xylanase,"[759, 856, 945, 1054, 1130, 1232, 1344, 1460, 1660]","[0.088469528550078, 0.4642110245439463, 0.6569474066791381, 0.48284621364211505, 0.8512613225448125, 0.16439590680686061, 0.8023152656774373, 0.4802944498816788, 0.07060400915398056]"
165,xylanase,"[645, 755, 861, 941, 1004, 1058, 1126, 1259, 1339, 1459, 1668]","[0.019471428820172443, 0.10332227300790359, 0.44461662663628, 0.547760620593267, 0.23098659041994213, 0.44301394346097117, 0.8216730525592656, 0.43650652869947215, 0.9989304820808141, 0.8045963515687033, 0.20945995898349806]"
166,cytochrome c,"[1585, 1364, 690]","[0.9440895187494679, 0.9741710164043555, 0.44265201781153074]"
167,cytochrome c,"[1585, 1312, 1131, 751]","[0.631667263651551, 0.6153548862793062, 0.5261326748073025, 1.0]"
168,a-dna,"[465, 499, 537, 555, 592, 622, 642, 663, 682, 704, 727, 748, 781, 794, 806, 881, 893, 965, 992, 1011, 1025, 1055, 1099, 1145, 1182, 1209, 1243, 1255, 1301, 1322, 1336, 1396, 1418, 1373, 1461, 1483, 1612, 1537, 1574, 1603, 1651, 1669, 1717]","[0.09516736199163611, 0.8259267389915154, 0.062139686249437845, 0.06991630859499759, 0.02405818387228524, 0.1544184614838575, 0.09795272622814892, 0.22491833859796415, 0.12471348412837718, 0.3059402271777964, 0.5447350187960474, 0.23568851795275791, 0.031204618243041982, 0.23009033898004083, 0.2661466288969895, 0.5242168860546632, 0.8866559506751449, 0.5813023407428076, 0.22366111493514404, 0.19658519907226094, 0.2604772312679364, 0.3711409628132144, 0.9259722418888229, 0.2688236079970629, 0.09250617763235758, 0.052947429148048945, 0.1492087991280775, 0.35641501922125157, 0.6999592599922031, 0.4063122900378998, 0.41695276482714816, 0.11460404877921734, 0.22533574629895528, 0.10898952088251455, 0.4134165771826042, 0.4348314288032744, 0.052944671419397946, 0.24041211702306087, 0.16299115477414455, 0.0905688119290945, 0.009158555476481027, 0.023723295251647524, 0.013726211385226178]"
169,b-dna,"[467, 499, 535, 569, 595, 643, 669, 681, 729, 751, 787, 795, 834, 896, 923, 932, 970, 1000, 1013, 1028, 1054, 1094, 1142, 1182, 1217, 1237, 1257, 1292, 1304, 1319, 1339, 1376, 1422, 1445, 1463, 1489, 1511, 1538, 1577, 1610, 1649, 1669, 1712]","[0.11653811469600946, 0.8222281924622069, 0.2614223975246731, 0.08127086691614663, 0.12895515204394084, 0.08223693015755036, 0.29864084880201663, 0.20175759427440423, 0.7296035192461778, 0.20406640482587035, 0.050558396807781104, 0.19690318695110504, 0.3941489304057162, 0.6269274156941943, 0.878945715871445, 0.6469713626639386, 0.101001757998279, 0.12512570321715694, 0.175723784366823, 0.170913758369162, 0.26910965411901616, 0.7498267655146075, 0.22734201218151545, 0.08017000736106486, 0.047937995375927724, 0.035291920415229876, 0.18151442076034902, 0.8227105574939839, 0.7814131079373609, 0.4593267912117315, 0.20646548582310656, 0.13911717098037554, 0.21129901204594995, 0.33371903079411447, 0.3956648156412552, 0.47900791756775224, 0.4048119344148741, 0.28890253518610676, 0.14299430923982892, 0.06864409285588537, 0.04227697610924864, 0.04459442581472168, 0.04477805150707706]"
170,t-rna,"[1575, 1530, 1485, 1419, 1375, 1338, 1321, 1300, 1242, 1178, 1100, 1040, 1000, 978, 915, 867, 814, 785, 725, 670, 630, 594, 557, 500]","[0.6585005178310629, 0.10115821423968747, 0.8110543943101062, 0.16853809907768388, 0.552167249257888, 0.7679958390975485, 0.7110101211086836, 0.6285694839625224, 0.7212811673599268, 0.11239835907084285, 0.4234143783129602, 0.06330330169406319, 0.07585804531954021, 0.06999205777924843, 0.08303413341185933, 0.1099580941994631, 0.5914175083521563, 1.0, 0.2684316038017879, 0.18000515913394022, 0.08959810429070614, 0.12073329932620268, 0.12984352442570699, 0.11593757479869174]"
171,ceramide,"[677, 891, 1063, 1090, 1110, 1175, 1272, 1295, 1369, 1438, 1459, 1628, 1654, 1678]","[0.027937019942581416, 0.11697767012491316, 0.40265922893660233, 0.12344266521272196, 0.15314466269650162, 0.026866622731655566, 0.16714039864503696, 0.619657066981907, 0.07852253074066572, 0.9019228471174441, 0.5689443838483639, 0.07481741689751036, 0.09947220223827179, 0.20957854036366408]"
176,2-deoxy-d-ribose,"[540, 627, 677, 758, 808, 878, 899, 922, 986, 1017, 1044, 1082, 1115, 1148, 1196, 1235, 1257, 1279, 1298, 1348, 1379, 1443, 1471]","[0.3142042983742867, 0.267557625414601, 0.27761965251554144, 0.17331051612046774, 0.9617534427110477, 0.2361518152448886, 0.14684413279666894, 0.30379070692982135, 0.08774166953570645, 0.2958097140289871, 0.4084303000389414, 0.2351785739186975, 0.2731832309852432, 0.24282829645210882, 0.0973976075425262, 0.21510605629100624, 0.24268316141497076, 0.3976403416476519, 0.5236229070603067, 0.3612804735903825, 0.1795987546377681, 0.1557763545021834, 0.7068700840307514]"
177,amylopectin,"[479, 521, 571, 614, 714, 770, 791, 866, 942, 1051, 1086, 1131, 1267, 1339, 1378, 1462]","[1.0, 0.12463819000598522, 0.13647142160433492, 0.10164790086903899, 0.10700763337984731, 0.11978719953657184, 0.08939395557910469, 0.4088824692244572, 0.5393992229488447, 0.38542374810527447, 0.5784317482122453, 0.677609514035779, 0.3320936081889346, 0.780230384552109, 0.6774271541471586, 0.6130153752751648]"
178,amylose,"[479, 521, 577, 614, 714, 766, 866, 942, 1051, 1082, 1127, 1262, 1339, 1378, 1462]","[0.9932721298926375, 0.13054920585964427, 0.18546199127864255, 0.08702149655668891, 0.08525778638837832, 0.09870409298966373, 0.48147334413743936, 0.6381300597957656, 0.4682177357156072, 0.7091471591383359, 0.8779476220242846, 0.3767686166888155, 0.9280641212929159, 0.7971406272303738, 0.6318048991071593]"
179,d-(+)-galactose,"[494, 534, 615, 662, 705, 766, 830, 889, 959, 972, 999, 1055, 1069, 1107, 1138, 1154, 1248, 1310, 1333, 1379, 1489]","[0.12177752720529911, 0.0988424349843764, 0.17274496726516383, 0.3504497064473302, 0.32346128180952216, 0.17202095792415967, 0.35719805875596616, 0.34540035913711986, 0.14476242208776102, 0.16064587174744588, 0.2706233441036149, 0.7721256862211069, 0.8761467515871294, 0.4666468325791934, 0.38517561086258945, 0.2168745133314529, 0.8919611409670267, 0.2686880933501068, 0.49196620519443685, 0.4386629594696886, 0.3759906207356352]"
180,d-(+)-glucose,"[542, 560, 650, 774, 843, 1022, 1055, 1074, 1121, 1150, 1204, 1273, 1333, 1346, 1373, 1460]","[0.8738731815411467, 0.3350922996392266, 0.1833018426368005, 0.17576539296799437, 0.7500790623934255, 0.3479864918790336, 0.46795887270662556, 0.7465736927204736, 0.9658108695960727, 0.44182524103474713, 0.10689065274335477, 0.3538863289826815, 0.6645775115778821, 0.9851066977949874, 0.37798147890786266, 0.6360270013382444]"
181,d-(+)-lactose monohydrate,"[477, 556, 633, 777, 851, 878, 916, 1053, 1086, 1121, 1142, 1263, 1346, 1379, 1416, 1455, 1470]","[0.5293276910767053, 0.18131490976350284, 0.1316226073866843, 0.11351969267928998, 0.5312659798153366, 0.43479654347386665, 0.2911005568602851, 0.38065406341804153, 0.9928309100167216, 0.5207496298273233, 0.5258849499392985, 0.5259369205000205, 0.5335490290474361, 0.312501701306759, 0.2633395984734846, 0.21907917951555603, 0.3023423303592713]"
182,d-(+)-maltose monohydrate,"[463, 519, 552, 780, 849, 901, 922, 1073, 1115, 1150, 1240, 1256, 1271, 1329, 1386, 1431, 1455]","[1.0, 0.43322628063055885, 0.9499891350427847, 0.07486007001639716, 0.3143630624648162, 0.4541815868196004, 0.24910368854424675, 0.5714421047653573, 0.934893381934272, 0.7964825329687698, 0.18250280493356374, 0.3100859055051073, 0.29971004302828697, 0.2644197414195692, 0.5650364633140972]"
183,d-(+)-raffinose pentahydrate,"[454, 538, 557, 618, 654, 706, 751, 834, 876, 936, 967, 997, 1051, 1075, 1125, 1153, 1269, 1306, 1335, 1389, 1433, 1466]","[0.20391383956035888, 0.20718255369373614, 0.15806747934371276, 0.21626541479890776, 0.1958304713154663, 0.2367036932152116, 0.15655352632496305, 1.0, 0.2715223466798782, 0.15096602880855606, 0.1764166260843758, 0.16557924787552214, 0.6814718075036849, 0.614584855334068, 0.4273892741180701, 0.47837060357203454, 0.7090572248398721, 0.3111851220131558, 0.39135630703708474, 0.46660943809605454, 0.2769860131020201, 0.6939575081403034]"
184,d-(+)-sucrose,"[527, 552, 585, 641, 737, 851, 872, 922, 943, 1015, 1038, 1088, 1127, 1161, 1239, 1350, 1368, 1433, 1462]","[0.519829660390045, 0.47931332457520764, 0.23734787339335278, 0.3579663840406913, 0.14465184708538917, 0.9896328924450774, 0.2172388499861643, 0.3097736060035868, 0.20551955295816735, 0.2495695736027222, 0.5878675584968971, 0.3097336411312541, 0.7194450372370063, 0.35183526592660724, 0.4732249172811121, 0.4394223143194692, 0.4370269299312313, 0.31855491698735344, 0.8400203001617521]"
185,d-(+)-xylose,"[505, 527, 565, 608, 758, 903, 932, 1017, 1086, 1107, 1115, 1150, 1244, 1316, 1341, 1373, 1397, 1446, 1476]","[0.18637236895303688, 0.4989679246173876, 0.21256056312944796, 0.1827072455402542, 0.12847151119779393, 0.9780162803968603, 0.2755335419287658, 0.1684299289508248, 0.5862699886032461, 0.5841960678923666, 0.550122775893941, 0.3323076414174258, 0.15773871807937814, 0.24767240093242515, 0.2423535869486348, 0.2934146747887895, 0.2943366453754447, 0.10677410178985404, 0.16725396073031173]"
186,d-(-)-fructose,"[465, 527, 596, 627, 781, 820, 874, 926, 980, 1049, 1082, 1142, 1179, 1251, 1265, 1341, 1398, 1455, 1472]","[0.22956426063522042, 0.3521687136256509, 0.3305119763412051, 0.9968655034189066, 0.08169413704154145, 0.6337565001313646, 0.6136176595645602, 0.22866965964742952, 0.35270359105425747, 0.33041412172438434, 0.5512854391984805, 0.250219280634032, 0.3127825554352135, 0.35131252618743913, 0.681110449316241, 0.2039103382952516, 0.1827551568530964, 0.304593450887752, 0.6348029414447255]"
187,d-(-)-ribose,"[462, 542, 598, 631, 656, 727, 804, 885, 922, 945, 1003, 1030, 1059, 1074, 1119, 1161, 1246, 1273, 1321, 1364, 1452]","[0.12467077362403998, 0.9943659740124905, 0.27663318393386155, 0.3160782299823412, 0.13622486409165466, 0.1328413131049767, 0.12652176529463108, 0.8064062999380437, 0.46618837724471274, 0.19523643385499576, 0.2961931539624905, 0.3343867371650167, 0.7652277331219299, 0.5792058882268354, 0.6182203253187443, 0.32729547404861414, 0.21952196146882336, 0.6963749743208871, 0.5138700400509795, 0.37535003931965244, 0.4561253276890833]"
